,BTC_close,BTC_high,BTC_low,time,BTC_volume,_BTC_RETURNS,_TO_EXCHANGE_TRANSACTIONS,_FROM_EXCHANGE_TRANSACTIONS,_ONCHAIN_TRANSACTIONS,_ONCHAIN_VOLUME,close,high,low,volume,_RETURNS,_INTERCEPT,_REALIZED_VOL,_VOL_PROXY,_NEGATIVE_RETURNS,_BTC_REALIZED_VOL,_BTC_VOL_PROXY,_BTC_NEGATIVE_RETURNS
0,9454.6,9488.36,8532.56,2018-02-14,643451126.78,0.10211165104573006,20,55,75,4.0123530449094385e+24,1.367e-05,1.413e-05,1.3300000000000001e-05,293.24,0.018457519192322636,1,,3.4068001473495846,0,,104.26789279284944,0
1,10029.51,10201.68,9310.41,2018-02-15,826255719.59,0.059030351783665225,13,52,65,2.3825090869071593e+24,1.401e-05,1.684e-05,1.236e-05,455.06,0.02456770961305743,1,39.00002995116062,6.035723556315145,0,93.70777837454234,34.84582431703268,0
2,10163.05,10296.23,9668.53,2018-02-16,671861567.36,0.013226846609875054,17,74,91,1.8219256567118198e+24,1.383e-05,1.439e-05,1.337e-05,289.64,-0.012931214672248004,1,20.527666903655927,1.6721631289976204,1,20.996968055597133,1.749494712411632,0
3,11040.0,11070.01,10054.89,2018-02-17,787911060.17,0.08276644689827961,7,43,50,9.719926509303203e+23,1.513e-05,1.799e-05,1.3699999999999998e-05,423.71,0.0898393821235981,1,142.61559782324485,80.71114580349878,0,131.3876612359671,68.50284732165738,0
4,10380.06,11261.87,10092.79,2018-02-18,989847190.29,-0.06163838278109246,4,128,132,9.691476790108281e+24,1.607e-05,1.746e-05,1.446e-05,426.84,0.06027465194915571,1,95.68304365106583,36.3303366759186,0,97.84789923298517,37.992902318684756,1
5,11153.48,11244.05,10289.13,2018-02-19,747394519.66,0.07186489876613678,6,73,79,3.924471822033403e+24,1.523e-05,1.6800000000000002e-05,1.511e-05,288.21,-0.05368701284235122,1,85.22549076887466,28.822953479347852,1,114.08199007801795,51.64563674667087,0
6,11206.87,11778.68,11111.6,2018-02-20,917435468.75,0.004775426275692496,5,60,65,1.5861203738753e+24,1.294e-05,1.532e-05,1.272e-05,270.49,-0.16294387783431574,1,258.66538704605387,265.5070732368441,1,7.580754197885646,0.22804696114574302,0
7,10447.21,11287.02,10216.39,2018-02-21,1098300404.6,-0.07019202599181185,3,44,47,4.70077207283334e+24,1.216e-05,1.354e-05,1.195e-05,268.8,-0.062171412534732795,1,98.6940577347052,38.6528453656393,1,111.42638687647197,49.2692051283519,1
8,9813.11,10925.72,9694.05,2018-02-22,1009091688.92,-0.06261571033645374,4,54,58,2.2162958208861504e+24,1.324e-05,1.368e-05,1.21e-05,244.91,0.08509067397084102,1,135.07725733063376,72.40422796811963,0,99.39935862954682,39.2072718093868,1
9,10155.82,10421.09,9575.5,2018-02-23,907465184.15,0.03432769339075392,0,59,59,1.0584571819306199e+24,1.288e-05,1.357e-05,1.274e-05,229.86,-0.02756682983265435,1,43.760985702984215,7.599301070225218,1,54.49352387664514,11.783905335296105,0
10,9685.92,10487.4,9362.41,2018-02-24,735881110.16,-0.04737365556862905,3,60,63,1.2099616578541804e+24,1.298e-05,1.361e-05,1.256e-05,225.34,0.007733990599735563,1,12.277329461408053,0.5981461059679806,0,75.20334679837164,22.44263241935098,1
11,9560.83,9837.78,9286.91,2018-02-25,566744718.87,-0.01299874122519995,2,27,29,2.0467446478196902e+24,1.191e-05,1.328e-05,9.62e-06,225.51,-0.08603132790873502,1,136.5704991642984,74.0138938174029,1,20.634861983257426,1.689672734397127,1
12,10314.29,10435.02,9363.3,2018-02-26,669215735.69,0.07585576897749924,10,32,42,5.535378771410655e+24,1.223e-05,1.312e-05,1.17e-05,223.11,0.02651356633187163,1,42.08898173012944,7.029691996345568,0,120.41730013441972,57.54097687167736,0
13,10596.63,10865.83,10130.88,2018-02-27,696004328.12,0.027005713685156252,17,57,74,4.96442377629049e+24,1.311e-05,1.406e-05,1.136e-05,271.7,0.06948334807652756,1,110.30139556237802,48.27935659923887,0,42.870241433242064,7.293085716446357,0
14,10333.62,11075.74,10298.01,2018-02-28,713310359.47,-0.02513336867328242,14,102,116,3.286152134053681e+24,1.415e-05,1.424e-05,1.237e-05,320.82,0.07633932631363827,1,121.18492360805742,58.27692742020144,0,39.89798587128413,6.316862208671341,1
15,10919.74,11056.57,10242.76,2018-03-01,657059548.09,0.055169503141778264,14,115,129,3.4746813729515567e+24,1.955e-05,1.98e-05,1.413e-05,938.66,0.323260662342129,1,513.1603927243762,1044.9745581787195,0,87.5788711608848,30.43674076910682,0
16,11022.33,11192.02,10772.66,2018-03-02,651994004.16,0.009351054623110144,33,874,907,1.597144250985117e+25,1.779e-05,1.966e-05,1.563e-05,724.29,-0.09433878475363144,1,149.75817806769555,88.99806308792004,1,14.84433901735681,0.874422225643896,0
