,BTC_close,BTC_high,BTC_low,time,BTC_volume,_BTC_RETURNS,_TO_EXCHANGE_TRANSACTIONS,_FROM_EXCHANGE_TRANSACTIONS,_ONCHAIN_TRANSACTIONS,_ONCHAIN_VOLUME,close,high,low,volume,_RETURNS,_INTERCEPT,_REALIZED_VOL,_VOL_PROXY,_NEGATIVE_RETURNS,_BTC_REALIZED_VOL,_BTC_VOL_PROXY,_BTC_NEGATIVE_RETURNS
0,4330.0,4400.0,4182.57,2017-08-26,19839.87,-0.008698776256906626,620,407,1027,1.00497723230479e+25,8.114e-05,8.998e-05,7.383e-05,1062.62,-0.034045325745248434,1,,11.590842051000758,1,,0.7566870836772246,1
1,4309.83,4326.27,4051.83,2017-08-27,1052374.12,-0.00466908183209469,404,501,905,1.1288823044021087e+25,8.232e-05,8.418e-05,7.586e-05,482.42,0.014438033747493861,1,22.919668029974535,2.0845681849377162,0,7.411937627241843,0.2180032515479671,1
2,4377.86,4433.9,4220.1,2017-08-28,1816507.32,0.01566156033488042,268,302,570,4.430194955722277e+24,7.915e-05,8.296e-05,7.533e-05,757.05,-0.03926930519877381,1,62.338089428549495,15.420783307944436,1,24.86195627359612,2.452844721230997,0
3,4562.12,4605.34,4197.76,2017-08-29,2603649.16,0.041227407251582804,647,424,1071,9.318922898154299e+24,7.971e-05,8.643e-05,7.572e-05,763.06,0.007050262112811012,1,11.191944136990607,0.497061958593384,0,65.44648007260297,16.996991086878623,0
4,4566.93,4639.04,4394.99,2017-08-30,2323879.98,0.0010537789682611987,494,401,895,7.731110226428368e+24,7.361e-05,8.022e-05,7.26e-05,617.25,-0.07961416236921792,1,126.38356468059948,63.38414849752195,1,1.6728222521107066,0.011104501139496363,0
5,4713.22,4815.48,4597.93,2017-08-31,1864975.46,0.03153011951252793,534,406,940,7.482880577964963e+24,7.905e-05,8.039e-05,7.023e-05,888.55,0.071299677584868,1,113.18472926918592,50.836440237061275,0,50.05251302297628,9.941484364742946,0
6,4869.22,4955.15,4836.06,2017-09-01,1550457.38,0.03256243374622869,484,463,947,7.803638509962876e+24,7.871e-05,8.606e-05,7.493e-05,1079.58,-0.004310351501123577,1,6.8424708811459904,0.18579130063238275,1,51.691261065323005,10.603120914775332,0
7,4480.13,5096.13,4219.15,2017-09-02,3336264.06,-0.08328169613275804,437,463,900,1.0721080855318294e+25,6.686e-05,8.13e-05,6.587e-05,764.02,-0.16316933116240584,1,259.02328310908115,266.24230631986865,1,132.20559403855628,69.35840910749046,1
8,4561.16,4782.87,4268.86,2017-09-03,2058039.95,0.017924913277557408,408,337,745,5.892440330792049e+24,6.296e-05,7.042e-05,6.272e-05,458.79,-0.0601012768828042,1,95.40781926560203,36.121634829434946,1,28.454917682889146,3.2130251600795385,0
9,4183.34,4942.39,3901.52,2017-09-04,6235017.91,-0.0864670066066715,296,304,600,5.916092935213971e+24,5.587e-05,6.369e-05,4.867e-05,1449.89,-0.11947204063809025,1,189.65598489227364,142.73568494229488,1,137.26211765606007,74.76543231518174,1
10,4437.38,4711.14,3803.13,2017-09-05,10019201.91,0.05895414164845292,705,460,1165,1.8967379036419886e+25,5.459e-05,5.782e-05,4.999e-05,574.56,-0.02317684767739081,1,36.792105077281185,5.371662682609758,1,93.58679853544966,34.75590817505851,0
11,4652.9,4678.39,4317.12,2017-09-06,8180221.7,0.04742656893834685,322,318,640,9.827891365972684e+24,5.6000000000000006e-05,5.859e-05,5.206e-05,485.89,0.02550097494148318,1,40.481542730912714,6.50299722966153,0,75.2873441687571,22.49279441263766,0
12,4689.11,4753.09,4403.88,2017-09-07,396109.06,0.007752117871310915,323,302,625,6.059242015434238e+24,6.793e-05,7.226e-05,5.519e-05,1185.05,0.19312607246806124,1,306.57813565987664,372.9767986693884,0,12.306105612928459,0.6009533149069808,0
13,4283.69,4731.02,4047.38,2017-09-08,4899975.46,-0.09042801130304134,1132,452,1584,1.1508792356514736e+25,6.075e-05,6.849e-05,5.65e-05,782.46,-0.11171068098255432,1,177.3352084017042,124.79276245586024,1,143.5500176771911,81.77225228222973,1
14,4260.11,4425.14,4151.94,2017-09-09,2821491.17,-0.005519806144830497,341,520,861,1.0581352088563563e+25,5.982e-05,6.075e-05,5.567e-05,264.12,-0.01542702901885562,1,24.489649351481713,2.379932243486134,1,8.76242060670422,0.30468259876508513,1
15,4132.8,4282.67,3812.6,2017-09-10,2673461.45,-0.03033983818471242,206,310,516,4.977386128882352e+24,5.841e-05,5.995e-05,5.596e-05,290.39,-0.02385294514958325,1,37.865376541358174,5.68962992309027,1,48.16299999281419,9.205057810745338,1
16,4207.74,4329.28,4102.52,2017-09-11,2809826.89,0.017970543094827818,178,337,515,5.052772704940718e+24,6.545e-05,6.585e-05,5.631e-05,652.51,0.1137993843036913,1,180.65092213190027,129.5029986789922,0,28.52735277220796,3.2294041912306377,0
17,4163.18,4392.7,4040.65,2017-09-12,3801201.55,-0.010646481126681095,338,387,725,6.490409501144137e+24,6.2e-05,6.863e-05,6.074e-05,553.13,-0.05415210731081821,1,85.9638053487033,29.324507262023708,1,16.900764839484488,1.1334756038077676,1
18,3942.56,4164.92,3730.28,2017-09-13,3524304.17,-0.05444894681851764,278,376,654,4.852508287750922e+24,5.763e-05,6.435e-05,5.515e-05,490.66,-0.0730911195965156,1,116.02855529979746,53.423117638721465,1,86.43502345870549,29.646878096457623,1
19,3189.75,3988.94,3167.3,2017-09-14,6024880.54,-0.21188771468935208,274,396,670,8.405832151151685e+24,5.41e-05,6.025e-05,5.394e-05,468.98,-0.06320907959613997,1,100.34130312760279,39.953877433911586,1,336.3613193627007,448.96403636276267,1
20,3699.54,3850.71,2821.26,2017-09-15,6735480.13,0.14826594377722913,306,395,701,8.532527282531939e+24,5.703e-05,5.881e-05,5.194e-05,497.84,0.05274325931601176,1,83.72732849109457,27.81851403276061,0,235.36488908090033,219.82790084152467,0
21,3714.73,3946.91,3472.44,2017-09-16,4896488.52,0.004097509600489602,334,339,673,8.790439077619428e+24,5.798e-05,5.8599999999999995e-05,5.517e-05,146.13,0.016520678325061766,1,26.22576380292522,2.7293281232016566,0,6.504594838556854,0.16789584926104456,0
22,3699.11,3746.71,3500.61,2017-09-17,2566827.38,-0.004213747022312475,134,229,363,4.946880724147826e+24,5.667e-05,5.908e-05,5.443e-05,125.59,-0.022853153311981345,1,36.27825620228117,5.222666163009239,1,6.68911602526604,0.1775566396804725,1
23,4035.32,4121.54,3689.43,2017-09-18,4209584.37,0.08699335447410128,91,159,250,2.27351778036636e+24,5.662e-05,6.027e-05,5.610000000000001e-05,211.18,-0.0008826904977752292,1,1.4012277250503682,0.0077914251486268194,1,138.09766899225494,75.67843722656637,0
24,3910.17,4090.4,3831.0,2017-09-19,3662368.24,-0.031504753336230706,193,196,389,4.5076271180187525e+24,5.214e-05,5.833e-05,5.197e-05,276.82,-0.0824298711783964,1,130.8533638446789,67.94683662487024,1,50.01224546646026,9.925494827767398,1
25,3899.98,4045.23,3820.55,2017-09-20,2942738.82,-0.0026094263956686348,265,194,459,4.911754382365256e+24,5.172e-05,5.296e-05,5.134e-05,208.5,-0.008087854601699362,1,12.839071149686776,0.6541339205822956,1,4.142335984479898,0.06809106114412203,1
26,3610.41,3909.49,3567.97,2017-09-21,3829131.77,-0.07715008561430281,212,151,363,6.086163331140754e+24,4.8599999999999995e-05,5.253e-05,4.73e-05,226.79,-0.062221022997208664,1,98.77281190238695,38.71455702819169,1,122.47196409767194,59.52135710294253,1
27,3595.89,3749.34,3506.33,2017-09-22,3115746.24,-0.0040298127054541055,127,143,270,3.124362501060031e+24,4.991e-05,5.303e-05,4.615e-05,217.62,0.02659785257506897,1,42.22278199319626,7.07445761605103,0,6.397129349280098,0.16239390441039336,1
28,3779.29,3816.43,3543.29,2017-09-23,2877994.24,0.049744634703706936,132,171,303,3.4444698038651137e+24,4.947e-05,5.1e-05,4.835e-05,96.78,-0.008854958241899524,1,14.056810426758606,0.7841028546578431,1,78.96715949145592,24.745286818052445,0
29,3659.6,3789.73,3623.26,2017-09-24,2540976.17,-0.03218230947802958,102,111,213,1.7764560614065328e+24,4.675e-05,4.987e-05,4.6500000000000005e-05,112.37,-0.056552169504922034,1,89.77378596671541,31.981478757134337,1,51.08783249674996,10.357010433396725,1
30,3920.11,3973.66,3652.13,2017-09-25,2909119.22,0.06876586280990793,119,122,241,3.1983194215565413e+24,4.984e-05,5.193e-05,4.563e-05,202.83,0.06400361874450233,1,101.60259492368621,40.964632123916104,0,109.162423011483,47.28743887991079,0
31,3882.04,3975.32,3850.49,2017-09-26,2161070.58,-0.009758925972391808,158,213,371,4.577334475809911e+24,5.064e-05,5.145e-05,4.814e-05,181.7,0.015923903356723557,1,25.278412909989655,2.5357069811427175,0,15.491814711622883,0.9523663613462339,1
32,4192.63,4246.8,3873.01,2017-09-27,2695630.95,0.0769674333256738,110,195,305,4.3234282320349445e+24,5.479e-05,5.597e-05,4.970000000000001e-05,308.91,0.07876591771440289,1,125.03701803605323,62.04069793392087,0,122.18201257840747,59.23985792742041,0
33,4175.2,4294.75,4101.51,2017-09-28,3657072.44,-0.004165960639367583,163,289,452,3.929598945221456e+24,5.191e-05,5.573e-05,5.121e-05,206.12,-0.05399624571118622,1,85.71638272976284,29.155945509027962,1,6.613257494070895,0.1735522804875996,1
34,4174.73,4263.04,3954.85,2017-09-29,6535681.88,-0.00011257579416756869,149,266,415,4.0936871794501606e+24,5.061e-05,5.205e-05,4.895e-05,167.04,-0.025362264613152163,1,40.26134691108692,6.432444663075505,1,0.17870853300777606,0.00012673309432458793,1
35,4377.88,4379.53,4138.71,2017-09-30,3134324.81,0.04751490339596387,63,151,214,2.326705074372269e+24,5.004e-05,5.212e-05,4.951e-05,125.69,-0.011326499627275055,1,17.98026074318315,1.2828959380666196,1,75.42757077298761,22.57666044727779,0
36,4378.95,4406.18,4241.43,2017-10-01,3251045.65,0.0002443806732177478,106,163,269,3.5494409451910594e+24,4.871e-05,5.046e-05,4.762e-05,156.74,-0.026938337780260113,1,42.76328550001281,7.256740423633894,1,0.38794229193806495,0.0005972191344235965,0
37,4380.07,4558.64,4359.8,2017-10-02,2922861.68,0.0002557363737274443,151,172,323,2.99928568784691e+24,4.571e-05,4.946e-05,4.482e-05,181.96,-0.06356725547479769,1,100.90988970793514,40.40795968598197,1,0.4059689076462659,0.0006540109284726306,0
38,4309.71,4465.57,4181.74,2017-10-03,4686904.86,-0.016194089526745614,152,170,322,3.4532607839563585e+24,4.531e-05,4.797e-05,4.308e-05,144.36,-0.008789333664607213,1,13.95263463990962,0.7725238626779766,1,25.707320158129775,2.62248535600252,1
39,4208.27,4372.46,4143.59,2017-10-04,3759817.91,-0.02381897959394408,115,182,297,3.0502240002503393e+24,4.363e-05,4.823e-05,4.316e-05,131.74,-0.037782771543527716,1,59.97829040816668,14.275378255104076,1,37.81145789333947,5.6734378889672445,1
40,4293.14,4354.29,4110.58,2017-10-05,3322732.75,0.019966763063150594,130,141,271,3.5922557572428e+24,4.091e-05,4.471e-05,4.054e-05,149.35,-0.06437045519421147,1,102.18492973434496,41.435555019099866,1,31.696253731227657,3.986716272199949,0
41,4368.4,4417.04,4292.52,2017-10-06,2272268.3,0.01737840940316815,101,140,241,2.7043317509374334e+24,4.571e-05,4.669e-05,4.071e-05,168.6,0.1109425604023464,1,176.11585478242125,123.08251708628279,0,27.58736967758817,3.0200911338412313,0
42,4423.86,4476.87,4313.56,2017-10-07,1344107.22,0.012615808808245532,80,164,244,2.3150786314036592e+24,4.2e-05,4.825e-05,4.133e-05,177.48,-0.08464747406028472,1,134.3736992839826,71.65194864786575,1,20.02697561673368,1.5915863188620556,0
43,4638.32,4654.84,4423.86,2017-10-08,2414646.24,0.04733961356017069,122,206,328,3.023974492872049e+24,3.982e-05,4.6299999999999994e-05,3.961e-05,187.24,-0.05330031964731852,1,84.61163435223193,28.409240745063283,1,75.14930678526795,22.410390120262967,0
44,4787.26,4886.92,4551.13,2017-10-09,3126781.53,0.03160599099203054,230,209,439,5.855717554305223e+24,3.857e-05,4.061e-05,3.776e-05,273.52,-0.03189452641591295,1,50.630991048412966,10.17260815295369,1,50.17295526279694,9.989386665883158,0
45,4782.85,4958.87,4681.56,2017-10-10,5131017.62,-0.0009216195659504933,195,172,367,6.372445261194071e+24,4.146e-05,4.448e-05,3.823e-05,293.76,0.07225433478749643,1,114.7002005964723,52.20688895583617,0,1.463025704949329,0.008493826243427757,1
46,4821.13,4881.26,4711.16,2017-10-11,3652256.0,0.0079717372838779,132,227,359,5.288535114003442e+24,4.191e-05,4.351e-05,4.063e-05,154.73,0.010795354929346246,1,17.13709467463566,1.165396880505603,0,12.654740622167763,0.63548595323169,0
47,5429.14,5438.89,4810.39,2017-10-12,6735019.99,0.11877240160884739,102,147,249,3.817680354880129e+24,3.415e-05,4.204e-05,3.369e-05,271.75,-0.20476187592018036,1,325.04940100311813,419.27425830351336,1,188.54534236493882,141.06883383933334,0
48,5649.43,5844.08,5379.85,2017-10-13,10730709.38,0.039773913084710344,110,231,341,3.679072876669243e+24,3.537e-05,3.967e-05,3.057e-05,291.79,0.03510141720058968,1,55.72177234721194,12.32109489489853,0,63.139129614024945,15.819641620700928,0
