address,name,description,price,daily_volume,market_cap,holders,initials
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD (USDT),Digital money for a digital age.,$1.0097,"$22,108,401,954","$4,147,901,428","538,527",USDT
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB (BNB),"Binance aims to build a world-class crypto exchange, powering the future
of crypto finance.",$21.1216,"$270,072,842","$3,285,181,383","313,925",BNB
0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token (LINK),"A blockchain-based middleware, acting as a bridge between cryptocurrency smart contracts, data feeds, APIs and traditional bank account payments.",$3.0746,"$221,302,109","$1,076,094,715","75,070",LINK
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Bitfinex LEO Token (LEO),A utility token designed to empower the Bitfinex community and provide utility for those seeking to maximize the output and capabilities of the Bitfinex trading platform.,$0.9647,"$10,343,746","$964,191,735","1,929",LEO
0x6f259637dcd74c767781e37bc6133cd6a68aa161,HuobiToken (HT),Huobi Global is a world-leading cryptocurrency financial services group.,$3.8232,"$101,748,561","$922,467,244","8,941",HT
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Maker (MKR),Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchain,$653.4768,"$5,272,119","$653,476,811","15,621",MKR
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin (USDC),"USDC is a fully collateralized US Dollar stablecoin developed by CENTRE, the open source project with Circle being the first of several forthcoming issuers.",$1.0130,"$217,019,477","$445,572,829","75,553",USDC
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Crypto.com Coin (CRO),"Pay and be paid in crypto anywhere, with any crypto, for free.",$0.0379,"$6,310,891","$369,224,636","26,673",CRO
0xc9859fccc876e6b4b3c749c5d29ea04f48acb74f,Ino Coin (INO),InoCoin is a decentralized cryptocurrency built with the sole mission of helping new businesses with funding.,$2.0026,"$5,504","$360,481,999","3,823",INO
0xd850942ef8811f2a866692a623011bde52a462c1,VeChain (VEN),Aims to connect blockchain technology to the real world by as well as advanced IoT integration.,$0.0064,"$81,458,716","$356,044,165","45,517",VEN
